step,sim_time,dt,advance_wall_time,reaction_wall_time,cumulative_wall_time
0,0.0,1e-08,0.264441985,0.1444,0.264441985
1,1e-08,1.1e-08,0.24445533,0.148637232,0.508897315
2,2.1e-08,1.21e-08,0.244844207,0.14925185800000002,0.753741522
3,3.31e-08,1.331e-08,0.251172698,0.15519881000000002,1.00491422
4,4.641e-08,1.4641e-08,0.246664687,0.149825384,1.251578907
5,6.1051e-08,1.61051e-08,0.245066481,0.148670484,1.4966453880000001
6,7.71561e-08,1.771561e-08,0.24710308,0.14855446900000002,1.7437484680000002
7,9.487171e-08,1.9487171e-08,0.245411514,0.149262449,1.989159982
8,1.14358881e-07,2.14358881e-08,0.247818206,0.148834849,2.236978188
9,1.357947691e-07,2.357947691e-08,0.245010605,0.148617543,2.481988793
10,1.59374246e-07,2.59374246e-08,0.245103463,0.148908193,2.727092256
11,1.853116706e-07,2.853116706e-08,0.244851256,0.149223023,2.971943512
12,2.138428377e-07,3.138428377e-08,0.260554385,0.162926887,3.232497897
13,2.452271214e-07,3.452271214e-08,0.245169579,0.14912125999999998,3.477667476
14,2.797498336e-07,3.797498336e-08,0.245208203,0.148973372,3.7228756790000004
15,3.177248169e-07,4.177248169e-08,0.244741149,0.14894834699999998,3.9676168280000006
16,3.594972986e-07,4.594972986e-08,0.244635901,0.148916522,4.212252729
17,4.054470285e-07,5.054470285e-08,0.244466795,0.148577165,4.456719524
18,4.559917313e-07,5.559917313e-08,0.245453644,0.14888037999999998,4.702173168000001
19,5.115909045e-07,6.115909045e-08,0.248069425,0.148676021,4.9502425930000005
20,5.727499949e-07,6.727499949e-08,0.245797692,0.149179441,5.1960402850000005
21,6.400249944e-07,7.400249944e-08,0.245714056,0.149104368,5.441754341
22,7.140274939e-07,8.140274939e-08,0.251268903,0.154827131,5.693023244
23,7.954302433e-07,8.954302433e-08,0.246534588,0.148825616,5.939557832
24,8.849732676e-07,9.849732676e-08,0.245440957,0.148841535,6.184998789
25,9.834705943e-07,1.083470594e-07,0.24558191,0.14906617500000002,6.430580699
26,1.091817654e-06,1.191817654e-07,0.245502391,0.148470828,6.67608309
27,1.210999419e-06,1.310999419e-07,0.24517525,0.148735224,6.92125834
28,1.342099361e-06,1.442099361e-07,0.245475047,0.14933298099999998,7.166733387
29,1.486309297e-06,1.586309297e-07,0.245180098,0.149055033,7.4119134849999995
30,1.644940227e-06,1.744940227e-07,0.245779179,0.149373858,7.657692664
31,1.81943425e-06,1.91943425e-07,0.256530275,0.15997434300000002,7.914222939
32,2.011377675e-06,2.111377675e-07,0.246784517,0.14912688200000002,8.161007456
33,2.222515442e-06,2.322515442e-07,0.246404854,0.14908401599999999,8.40741231
34,2.454766986e-06,2.554766986e-07,0.249600792,0.153176669,8.657013102
35,2.710243685e-06,2.810243685e-07,0.245649519,0.149102632,8.902662621000001
36,2.991268053e-06,3.091268053e-07,0.246481213,0.14950506,9.149143834
37,3.300394859e-06,3.400394859e-07,0.246131957,0.14877329,9.395275791
38,3.640434344e-06,3.740434344e-07,0.246030083,0.149119618,9.641305874
39,4.014477779e-06,4.114477779e-07,0.245798143,0.148574109,9.887104017
